Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
willowwood-pequeno-1-t350-6593-1,Pequeno 1 T350-6593-1,<p>Pequeno 1 T350-6593-1 — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>,WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,T352-6593-1,T352-6593-1,shopify,0,deny,manual,,TRUE,TRUE,,Pequeno 1 T350-6593-1,draft
willowwood-pequeno-1-t350-6593-1,,,,,,,,Código,T352-6593-2,T352-6593-2,shopify,0,deny,manual,,TRUE,TRUE,,,
willowwood-medio-1-t350-6590-1,Médio 1 T350-6590-1,<p>Médio 1 T350-6590-1 — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>,WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,T352-6590-1,T352-6590-1,shopify,0,deny,manual,,TRUE,TRUE,,Médio 1 T350-6590-1,draft
willowwood-medio-1-t350-6590-1,,,,,,,,Código,T352-6590-2,T352-6590-2,shopify,0,deny,manual,,TRUE,TRUE,,,
willowwood-medio-1-t350-6594-1,Médio +1 T350-6594-1,<p>Médio +1 T350-6594-1 — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>,WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,T352-6594-1,T352-6594-1,shopify,0,deny,manual,,TRUE,TRUE,,Médio +1 T350-6594-1,draft
willowwood-medio-1-t350-6594-1,,,,,,,,Código,T352-6594-3,T352-6594-3,shopify,0,deny,manual,,TRUE,TRUE,,,
willowwood-grande-1-t350-6596-1,Grande 1 T350-6596-1,<p>Grande 1 T350-6596-1 — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>,WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,T352-6596-1,T352-6596-1,shopify,0,deny,manual,,TRUE,TRUE,,Grande 1 T350-6596-1,draft
willowwood-grande-1-t350-6596-1,,,,,,,,Código,T352-6596-2,T352-6596-2,shopify,0,deny,manual,,TRUE,TRUE,,,
willowwood-liner-alpha-truseal-tf-em-silicone-sem-tecido-cilindrico-32-cm,"Liner Alpha TruSeal TF, em silicone, sem tecido, cilíndrico 32 cm","<p>Liner Alpha TruSeal TF, em silicone, sem tecido, cilíndrico 32 cm — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>",WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,S495-1132,S495-1132,shopify,0,deny,manual,4745.72,TRUE,TRUE,,"Liner Alpha TruSeal TF, em silicone, sem tecido, cilíndrico 32 cm",active
willowwood-liner-alpha-truseal-tf-em-silicone-sem-tecido-cilindrico-32-cm,,,,,,,,Código,S495-1134,S495-1134,shopify,0,deny,manual,4745.72,TRUE,TRUE,,,
willowwood-liner-alpha-truseal-tf-em-silicone-sem-tecido-cilindrico-32-cm,,,,,,,,Código,S495-1137,S495-1137,shopify,0,deny,manual,4745.72,TRUE,TRUE,,,
willowwood-liner-alpha-truseal-tf-em-silicone-sem-tecido-cilindrico-32-cm,,,,,,,,Código,S495-1140,S495-1140,shopify,0,deny,manual,4745.72,TRUE,TRUE,,,
willowwood-liner-alpha-truseal-tf-em-silicone-sem-tecido-cilindrico-32-cm,,,,,,,,Código,S495-1143,S495-1143,shopify,0,deny,manual,4745.72,TRUE,TRUE,,,
willowwood-liner-alpha-truseal-tf-em-silicone-sem-tecido-cilindrico-32-cm,,,,,,,,Código,S495-1147,S495-1147,shopify,0,deny,manual,4745.72,TRUE,TRUE,,,
willowwood-liner-alpha-silicone-tt-em-silicone-e-tecido-progressivo-cinza-claro-cinza-cone,"Liner Alpha Silicone TT, em silicone e tecido, progressivo, cinza claro/cinza, conexão sem pino, médio-1","<p>Liner Alpha Silicone TT, em silicone e tecido, progressivo, cinza claro/cinza, conexão sem pino, médio-1 — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>",WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,S350-6590-1,S350-6590-1,shopify,0,deny,manual,2920.09,TRUE,TRUE,,"Liner Alpha Silicone TT, em silicone e tecido, progressivo, cinza claro/cinza, conexão sem pino, médio-1",active
willowwood-liner-alpha-silicone-tt-em-silicone-e-tecido-progressivo-cinza-claro-cinza-cone,,,,,,,,Código,S350-6590-2,S350-6590-2,shopify,0,deny,manual,2920.09,TRUE,TRUE,,,
